ulcs_code,school_name,school_level,school_address,school_website,school_abbreviation,year_opened,year_closed,geometry
3384,Folk Arts-Cultural Treasures Charter School,elementary-middle,1023 CALLOWHILL ST,http://www.factschool.org,facts,2005.0,,POINT (-75.15551365 39.95885103)
3385,Mastery Charter School at Thomas Campus,elementary-middle-high,927 JOHNSTON ST,http://www.masterycharter.org/thomaselementary,mastery thomas,2005.0,,POINT (-75.16358831 39.91454096)
3386,Northwood Academy Charter School,elementary-middle,4621 CASTOR AVE,http://www.northwoodcs.org,northwood,2005.0,,POINT (-75.09523811 40.02015006)
3388,Boys Latin of Philadelphia Charter School,middle-high,5501 CEDAR AVE,http://www.boyslatin.org,boys latin,2007.0,,POINT (-75.23374851 39.95172558)
3389,Keystone Academy Charter School,elementary-middle,4521 LONGSHORE AVE,http://www.keystoneacademycs.org,keystone academy,2007.0,,POINT (-75.045089 40.021916)
3392,Southwest Leadership Academy Charter School,elementary-middle,7101 PASCHALL AVE,http://www.slacs-phila.org,southwest leadership,2007.0,,POINT (-75.2426 39.918099)
3393,Mastery Charter School at Pickett,middle-high,5700 WAYNE AVE,http://www.masterycharter.org/schools/pickett-campus,mastery pickett,2007.0,,POINT (-75.18087124 40.03187441)
3394,Pan American Academy Charter School,elementary-middle,2830 N AMERICAN ST,https://www.panamcs.org/,pan american,2008.0,,POINT (-75.13614883 39.99428061)
3395,Antonia Pantoja Charter School,elementary-middle,4101 N AMERICAN ST,https://pantojacharter.org/,"pantoja, antonia",2008.0,,POINT (-75.13136564 40.01300525)
3396,KIPP West Philadelphia Preparatory Charter School,middle,5900 BALTIMORE AVE,http://kippphiladelphia.org/our-schools/kipp-west-philadelphia-preparatory-charter-school,kipp west,2009.0,,POINT (-75.24184422 39.94453199)
3399,Sankofa Freedom Academy Charter School,elementary-middle-high,2501 KENSINGTON AVE,http://www.sfacs.us,sankofa,2009.0,,POINT (-75.128641 39.987082)
3403,Franklin Towne Charter Elementary School,elementary-middle,4259 RICHMOND ST,http://es.franklintowne.org,franklin towne elementary,2009.0,,POINT (-75.07472434 39.99551599)
3404,Tacony Academy Charter School,elementary-middle-high,1330 RHAWN ST,http://www.ap-schools.org/Tacony-Academy-Charter,tacony academy,2009.0,,POINT (-75.06598353 40.06684222)
3406,Aspira Charter School at Stetson,middle,3200 B ST,http://stetsoncharter.org/,aspira stetson,2010.0,,POINT (-75.12546663 39.99806894)
3407,Mastery Charter School at Harrity,elementary-middle,5601 CHRISTIAN ST,http://www.masterycharter.org/harrity,mastery harrity,2010.0,,POINT (-75.23548525 39.94852458)
